question,answer,context,chunk_id
近2届亚运会、全运会、大运会的金牌获得者符合什么条件？,,1.近2届奥运会银牌、铜牌获得者，近2届列入奥运会项目的世界杯、世锦赛银牌、铜牌获得者，近2届亚运会、全运会、大运会金牌获得者。近8年培养出奥运会或列入奥运会项目的世界杯、世锦赛银牌、铜牌获得者，亚运会、全运会、大运会金牌获得者的教练员。,0
诺贝尔奖获得者是谁？,,1.诺贝尔奖获得者。,1
OLED器件开发工程师需要具备哪些OLED光学知识？,,"设备评估及良率提升等新产线建   
设，对新产品、新技术的导入有深入   
研究；具备较强的抗压能力、沟通能   
力和自我驱动能力。
结构紧缺
动态紧缺
★★
天府新区    
高新区
OLED 器
件开发工
程师
材料、物   
理 、 化      
学、光学
工程相关   
专业
硕士研究
生及以上
学历，1
年及以上
相关工作
经历
熟悉半导体器件和 OLED 器件工作   
原理；熟练掌握蒸镀技术及 OLED   
器件制备；具备丰富的 OLED 器件   
制备经验；了解 OLED 光学知识（亮   
度、视角、色度、微腔理论）和 OLED   
电学知识（电流效率、寿命、电荷注   
入、传输理论、像素电路与 OLED 器   
件匹配设计）。
结构紧缺 ★
高新区
双流区
面板驱动
电路设计   
工程师
电子信     
息、电气
工程相关   
专业
本科及以
上学历，
3 年及以
上相关工   
作经历
熟悉 LCD 显示屏工作原理，LCD 液   
晶面板驱动电路设计方法， 具备   
LCD 驱动板卡硬件设计能力；熟悉   
DVI、VGA、PAL 视频接口电路；熟   
练掌握单片机软硬件设计，熟练掌   
握 Cadence 原理图设计工具。
供给紧缺 ★
高新区
双流区
光学测试   
工程师
光学、光
电子相关   
专业
本科及以
上学历，",2
文本中提到的智能汽车操作系统安全工程师需要具备什么学历要求？,,"能熟练使用 AndroidSDK 进行 App   
开发；具备扎实的 Java 语言基础，  
熟悉数据结构和算法，具备较强的   
编码能力；了解设计模式，在实际开   
发过程中使用过两种以上。
数量紧缺
结构紧缺
★★
天府新区    
高新区
龙泉驿区
车载系统
架构师
计算机相
关专业
本科及以
上学历，
5 年及以
上相关工   
作经历
熟悉互联网和移动产品开发和集   
成；熟悉 Android APK 的架构、开   
发和优化，熟悉 Android Binder、  
JNI 系统接口的设计和优化；熟悉各   
种设计模式和重构原则，熟悉常见   
的数据结构和算法；熟练使用常见   
三方库以及对其原理有所了解。
结构紧缺 ★
龙泉驿区
简阳市
新能源汽
车电控工
程师
电气工     
程、电气
自动化、
机电一体
化相关专
业
本科及以
上学历，
3 年及以
上相关工   
作经历
熟悉新能源汽车电机控制器硬件电   
路及控制原理；熟悉 AUTOCAD、   
CATIA 、 MATLAB 、 MAXWELL 、   
CANOE、Protel、示波器等常用专   
业工具；熟悉  TI 、 Freescale 、   
Infineon 等 16 位/32 位 DSP 编程。
结构紧缺 ★ 龙泉驿区
智能汽车
操作系统
安全工程
师",3
天府新区招聘的基带信号处理工程师需要具备哪些相关专业背景？,,"结构紧缺
动态紧缺
★★ 天府新区    
高新区
基带信号
处理工程
师
信号与信
息处理、
电路与系   
统 、 导      
航、制导
与控制相   
关专业
硕士研究
生及以上
学历，3
年及以上
相关工作
经历
熟练掌握 Matlab 或 Python 工具   
进行仿真；熟悉 Verilog/VHDL 语   
言；对 FPGA 工程实现相关项目有   
一定了解；具有扩跳频设计、通信调   
制解调、信道编解码或雷达信号处   
理算法相关经验；具有数据链、自组   
网相关经验（链路层接入设计和物   
理层波形设计）或神经网络研究的   
相关经验；具备较强的沟通表达能   
力。
数量紧缺
动态紧缺
★★
高新区
青羊区
金牛区
SLM 工
艺研发工   
程师
机械制造
及其自动
化、材料
学、材料
加工工程
相关专业
硕士研究
生及以上
学历，3
年及以上
相关工作
经历
对 SLM、SLS 加工工艺有较深理解， 
有多款增材制造产品生产落地经   
验；熟悉增材制造设备及质量检测； 
了解钛合金、铝合金、高温合金组织   
性能；熟练使用三维及二维设计软   
件；对实验室分析类仪器有一定操   
作经验。
结构紧缺
供给紧缺
★★
高新区
双流区
重点产业链人才开发目录◎◎第二章
-  17  -
岗位
名称
专业
要求
资历
要求
能力要求",4
重点产业类包括哪些内容？,,(二)重点产业类,5
什么是省级工匠？,,6.省级工匠。,6
呼吸与危重症医学科医师岗位要求具备什么学历？,,"关专业
本科及以上
学历
熟悉基本的测试方法和理论，如白盒测试、黑盒测    
试等常用技能，具备一定的代码基础。
眉山市
成都都市圈人才开发指引（2025）
-  172  -
资阳市重点产业人才招引目录
资阳市人力资源和社会保障局
岗位名称 专业要求 资历要求 能力要求 区域导向
呼吸与危重
症医学科医
师
内科学相关
专业
博士研究生
及以上学历
具有较强的科研能力；取得执业医师证和规培证，    
能处理本专业常见疾病。
资阳市
医学骨干教
师
医学相关专
业
博士研究生
及以上学历
具备良好的课堂讲授能力、语言表达能力和沟通能    
力，能够清晰、准确地传达教学内容，引导学生积    
极参与教学活动；熟练使用实验仪器、多媒体教学    
设备及办公软件。
资阳市
文献信息研
究员
图书馆学、
情报学、信
息管理与信
息系统、档
案学相关专
业
硕士研究生   
及以上学     
历，5 年及
以上相关工   
作经历
熟练掌握文献信息分析工具，熟悉国内外主流数据    
库；具备跨学科合作能力。
资阳市
融资管理中   
心总监
法学、经济
学、工商管
理相关专业
硕士研究生   
及以上学     
历，5 年及
以上相关工   
作经历
熟悉金融市场运作，有丰富的融资管理经验，对融    
资、发债、金融工具及相关法律法规有深入理解和",7
省级自然科学奖、技术发明奖、科学技术进步奖一等奖的获奖者需要满足什么排名条件？,,9.省级自然科学奖、技术发明奖、科学技术进步奖一等奖获得者(第1完成人)。,8
农民合作社管理专员需要具备多少年及以上相关工作经历？,,"风险。
数量紧缺
结构紧缺
★★
温江区
都江堰市
彭州市
邛崃市
崇州市
金堂县
大邑县
蒲江县
农民合作
社管理专
员
农学相关
专业
本科及以
上学历，
5 年及以
上相关工   
作经历
熟悉国家农业政策和合作社的操作   
程序；掌握良好的管理理念，有比较   
成型的管理思想和模式；具有创新   
精神及良好的沟通能力；具备大型   
农业基地、大农场运营管理经验。
结构紧缺
供给紧缺
★★
彭州市
邛崃市
崇州市
金堂县
大邑县
蒲江县
第三章  重点领域（行业）人才开发目录
一、重点领域
1.乡村振兴
1.1 乡村治理
成都市人才开发指引（2025）
-  108  -
岗位
名称
专业
要求
资历
要求
能力要求
人才紧
缺类型
人才紧
缺指数
区域
导向
农业环境
保护员
农业资源
与环境相   
关专业
本科及以
上学历，
3 年及以
上相关工   
作经历
具备扎实的农业科学基础知识，掌   
握农业环境污染控制、农田土壤修   
复等方面的技术，具备农田环境治   
理、土壤修复方面的能力。
结构紧缺 ★
青白江区    
新津区
崇州市
蒲江县
高标准农
田规划师
农业水利
工程、土
地资源管
理、水土
保持相关   
专业
本科及以
上学历，
3 年及以
上相关工   
作经历
具备地形、地籍、测量相关的基础知",9
